Comment,Designator,Footprint,LCSC Part #
RTT035R1JTP,"BL:0,BL:1,BL:2,BL:3,BL:4,BL:5",Resistor_603,
TL3302AF180QG,Boot1,ButtonSMD,
0603N470F101,C4,Cap_603,
0603B104K101NT,CB1,Cap_603,
TMK107BBJ106MA-T,Cin1,Cap_603,
0603X476M6R3NT,Cout1,Cap_603,
ESP32-C3-WROOM-02-N4 ,ESP1,MODULE_ESP32-C3-WROOM-02-H4,
0603WAJ0150T5E,"GR:0,GR:1,GR:2,GR:3,GR:4,GR:5",Resistor_603,
MRMS201A-001,HallSensor1,XDCR_MRMS201A-001,
MWSA0402S-2R2MT,L1,Inductor_Sunlord,
150120M183000,"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36",WL-SFCW SMT Full-color Chip LED,
LP5860MRKPR,LED-Driver1,QFN-40_EP_4.85x5.15_Pitch0.4mm,
KF301-5.0-2P,Power_12V1,Power_Terminal,
RC0603FR-071M02L,R1,Resistor_603,
0603WAF1002T5E,"R2,R5",Resistor_603,
WR06X5111FTL,"R3,R4,R9",Resistor_603,
RC0603JR-074K7L,R6,Resistor_603,
AC0603FR-07100KL,R7,Resistor_603,
0603WAF2152T5E,R8,Resistor_603,
RC0603JR-0768RL,"RD:0,RD:1,RD:2,RD:3,RD:4,RD:5",Resistor_603,
5017,Test3.3V1,Test_Point,
5017,TestCLK1,Test_Point,
5017,TestGND1,Test_Point,
5017,TestHallSense1,Test_Point,
5017,TestMISO1,Test_Point,
5017,TestMOSI1,Test_Point,
5017,TestSS1,Test_Point,
TYPE-C-31-M-15,USB-C1,TYPE-C-31-M-15,
CC0603KRX7R7BB105,VCAP1,Cap_603,
SY8105ADC,VReg1,AN_SY8105,
